game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
201411160was,11,Sun,2014-11-16,TB,WAS,27,7,329,1,322,3,FALSE,2,FALSE,WAS,-6.5,46,FedEx Field,FALSE,46,7,NA,NA
201411160nyg,11,Sun,2014-11-16,SF,NYG,16,10,333,1,330,5,FALSE,4,FALSE,SF,-4,45,MetLife Stadium,FALSE,43,4,NA,NA
201411170ten,11,Mon,2014-11-17,PIT,TEN,27,24,386,1,312,1,FALSE,0,FALSE,PIT,-7,46,Nissan Stadium,FALSE,25,0,NA,NA
201411200lvr,12,Thu,2014-11-20,LVR,KC,24,20,351,1,313,0,TRUE,-1,FALSE,KC,-7.5,42,Oakland Coliseum,FALSE,55,11,NA,rain | fog
201411230lac,12,Sun,2014-11-23,LAC,LAR,27,24,410,3,317,3,TRUE,0,FALSE,LAC,-4,43.5,Qualcomm Stadium,FALSE,72,3,NA,NA
201411230min,12,Sun,2014-11-23,GB,MIN,24,21,362,0,308,1,FALSE,1,FALSE,GB,-7.5,49.5,TCF Bank Stadium,FALSE,46,6,NA,fog
201411230sf,12,Sun,2014-11-23,SF,WAS,17,13,312,3,213,1,TRUE,-2,FALSE,SF,-9,44,Levi's Stadium,FALSE,63,4,NA,NA
201411230nyg,12,Sun,2014-11-23,DAL,NYG,31,28,385,1,417,1,FALSE,0,FALSE,DAL,-4,49,MetLife Stadium,FALSE,48,0,NA,NA
201412010nyj,13,Mon,2014-12-01,MIA,NYJ,16,13,291,1,326,1,FALSE,0,FALSE,MIA,-6.5,41.5,MetLife Stadium,FALSE,43,9,NA,NA
201412070ari,14,Sun,2014-12-07,ARI,KC,17,14,366,0,390,2,TRUE,2,FALSE,KC,-2.5,41,University of Phoenix Stadium,FALSE,72,0,NA,indoor
201412070phi,14,Sun,2014-12-07,SEA,PHI,24,14,440,2,139,2,FALSE,0,FALSE,SEA,-1.5,48,Lincoln Financial Field,FALSE,39,6,NA,NA
201412070jax,14,Sun,2014-12-07,HOU,JAX,27,13,304,0,262,1,FALSE,1,FALSE,HOU,-6.5,42,EverBank Field,FALSE,58,9,NA,NA
201412140ind,15,Sun,2014-12-14,IND,HOU,17,10,278,2,289,2,TRUE,0,FALSE,IND,-7,49,Lucas Oil Stadium,FALSE,72,0,NA,indoor
201412140atl,15,Sun,2014-12-14,PIT,ATL,27,20,398,0,407,1,FALSE,1,FALSE,PIT,-3,55.5,Georgia Dome,FALSE,72,0,NA,indoor
201412140sea,15,Sun,2014-12-14,SEA,SF,17,7,290,1,245,0,TRUE,-1,FALSE,SEA,-10,38.5,CenturyLink Field,FALSE,49,2,NA,NA
201412200was,16,Sat,2014-12-20,WAS,PHI,27,24,305,2,495,2,TRUE,0,FALSE,PHI,-7,51,FedEx Field,FALSE,35,1,NA,NA
201412210car,16,Sun,2014-12-21,CAR,CLE,17,13,404,2,228,1,TRUE,-1,FALSE,CAR,-6,40,Bank of America Stadium,FALSE,50,4,NA,NA
201412210chi,16,Sun,2014-12-21,DET,CHI,20,14,367,3,234,1,FALSE,-2,FALSE,DET,-10,44.5,Soldier Field,FALSE,36,7,NA,NA
201412210nyj,16,Sun,2014-12-21,NE,NYJ,17,16,231,1,307,1,FALSE,0,FALSE,NE,-10,47,MetLife Stadium,FALSE,35,4,NA,NA
201412280sf,17,Sun,2014-12-28,SF,ARI,20,17,395,0,397,3,TRUE,3,FALSE,SF,-6,37.5,Levi's Stadium,FALSE,56,5,NA,NA
